Date;P1;Q1;P2;Q2;P3;Q3;;
22.07.2017 03:08;6.453333333;0;6.453333333;0;6.453333333;0;;
22.07.2017 03:09;6.453333333;0;6.453333333;0;6.453333333;0;;
22.07.2017 03:10;4.303333333;0;4.303333333;0;4.303333333;0;;
22.07.2017 03:11;6.45;0;6.45;0;6.45;0;;
22.07.2017 03:12;6.446666667;0;6.446666667;0;6.446666667;0;;
22.07.2017 03:13;6.46;0;6.46;0;6.46;0;;
22.07.2017 03:14;6.453333333;0;6.453333333;0;6.453333333;0;;
22.07.2017 03:15;6.443333333;0;6.443333333;0;6.443333333;0;;
22.07.2017 03:16;6.463333333;0;6.463333333;0;6.463333333;0;;
22.07.2017 03:17;6.463333333;0;6.463333333;0;6.463333333;0;;
22.07.2017 03:18;6.466666667;0;6.466666667;0;6.466666667;0;;
22.07.2017 03:19;6.47;0;6.47;0;6.47;0;;
22.07.2017 03:20;6.463333333;0;6.463333333;0;6.463333333;0;;
22.07.2017 03:21;6.463333333;0;6.463333333;0;6.463333333;0;;
22.07.2017 03:22;6.463333333;0;6.463333333;0;6.463333333;0;;
22.07.2017 03:23;6.443333333;0;6.443333333;0;6.443333333;0;;
22.07.2017 03:24;6.443333333;0;6.443333333;0;6.443333333;0;;
22.07.2017 03:25;6.46;0;6.46;0;6.46;0;;
22.07.2017 03:26;6.446666667;0;6.446666667;0;6.446666667;0;;
22.07.2017 03:27;1.266666667;0;1.266666667;0;1.266666667;0;;
22.07.2017 03:28;3.446666667;0;3.446666667;0;3.446666667;0;;
22.07.2017 03:29;3.81;0;3.81;0;3.81;0;;
22.07.2017 03:30;5.116666667;0;5.116666667;0;5.116666667;0;;
22.07.2017 03:31;7.576666667;0;7.576666667;0;7.576666667;0;;
22.07.2017 03:32;7.143333333;0;7.143333333;0;7.143333333;0;;
22.07.2017 03:33;7.116666667;0;7.116666667;0;7.116666667;0;;
22.07.2017 03:34;7.1;0;7.1;0;7.1;0;;
22.07.2017 03:35;6.626666667;0;6.626666667;0;6.626666667;0;;
22.07.2017 03:36;6.653333333;0;6.653333333;0;6.653333333;0;;
22.07.2017 03:37;6.663333333;0;6.663333333;0;6.663333333;0;;
22.07.2017 03:38;6.626666667;0;6.626666667;0;6.626666667;0;;
22.07.2017 03:39;6.396666667;0;6.396666667;0;6.396666667;0;;
22.07.2017 03:40;6.396666667;0;6.396666667;0;6.396666667;0;;
22.07.2017 03:41;6.373333333;0;6.373333333;0;6.373333333;0;;
22.07.2017 03:42;6.376666667;0;6.376666667;0;6.376666667;0;;
22.07.2017 03:43;6.403333333;0;6.403333333;0;6.403333333;0;;
